Crab Nebula,M1,8.4,05:34:31,+22:00:52,NEBULA
Messier 2,M2,6.5,21:33:27,-00:49:24,CLUSTER
Messier 3,M3,6.2,13:42:11,+28:22:38,CLUSTER
Messier 4,M4,5.6,16:23:35,-26:31:32,CLUSTER
Messier 5,M5,5.6,15:18:33,+02:04:51,CLUSTER
Butterfly Cluster,M6,4.2,17:40:20,-32:15:15,CLUSTER
Ptolemy Cluster,M7,3.3,17:53:51,-34:47:34,CLUSTER
Lagoon Nebula,M8,6.0,18:03:37,-24:23:12,NEBULA
Messier 9,M9,7.7,17:19:11,-18:30:59,CLUSTER
Messier 10,M10,6.6,16:57:09,-04:06:01,CLUSTER
Wild Duck Cluster,M11,6.3,18:51:05,-06:16:12,CLUSTER
Messier 12,M12,6.7,16:47:14,-01:56:54,CLUSTER
Great Hercules Cluster,M13,5.8,16:41:41,+36:27:35,CLUSTER
Messier 14,M14,7.6,17:37:36,-03:14:45,CLUSTER
Great Pegasus Cluster,M15,6.2,21:29:58,+12:10:01,CLUSTER
Eagle Nebula,M16,6.4,18:18:48,-13:49:00,NEBULA
Omega Nebula,M17,7.0,18:20:26,-16:10:36,NEBULA
Messier 18,M18,7.5,18:19:58,-17:06:07,CLUSTER
Messier 19,M19,6.8,17:02:37,-26:16:05,CLUSTER
Trifid Nebula,M20,9.0,18:02:23,-23:01:48,NEBULA
Messier 21,M21,6.5,18:04:13,-22:29:24,CLUSTER
Sagittarius Cluster,M22,5.1,18:36:24,-23:54:12,CLUSTER
Messier 23,M23,6.9,17:56:48,-19:00:44,CLUSTER
Sagittarius Star Cloud,M24,4.6,18:16:54,-18:29:14,CLUSTER
Messier 25,M25,6.5,18:31:47,-19:07:00,CLUSTER
Messier 26,M26,8.0,18:45:18,-09:23:00,CLUSTER
Dumbbell Nebula,M27,7.4,19:59:36,+22:43:16,NEBULA
Messier 28,M28,6.8,18:24:32,-24:52:11,CLUSTER
Messier 29,M29,7.1,20:23:56,+38:31:24,CLUSTER
Messier 30,M30,7.2,21:40:22,-23:10:45,CLUSTER
Andromeda Galaxy,M31,3.4,00:42:44,+41:16:09,GALAXY
Messier 32,M32,8.1,00:42:41,+40:51:55,GALAXY
Triangulum Galaxy,M33,5.7,01:33:50,+30:39:37,GALAXY
Messier 34,M34,5.5,02:42:06,+42:46:00,CLUSTER
Messier 35,M35,5.3,06:09:00,+24:21:00,CLUSTER
Messier 36,M36,6.3,05:36:12,+34:08:24,CLUSTER
Messier 37,M37,6.2,05:52:19,+32:33:12,CLUSTER
Messier 38,M38,7.4,05:28:43,+35:51:18,CLUSTER
Messier 39,M39,4.6,21:31:48,+48:27:00,CLUSTER
Winnecke 4,M40,8.4,12:22:12,+58:04:59,CLUSTER
Messier 41,M41,4.6,06:46:00,-20:46:00,CLUSTER
Orion Nebula,M42,4.0,05:35:17,-05:23:28,NEBULA
De Mairan Nebula,M43,9.0,05:35:31,-05:16:03,NEBULA
Beehive Cluster,M44,3.7,08:40:24,+19:41:00,CLUSTER
Pleiades,M45,1.6,03:47:24,+24:11:57,CLUSTER
Messier 46,M46,6.0,07:41:46,-14:48:36,CLUSTER
Messier 47,M47,5.2,07:36:36,-14:30:00,CLUSTER
Messier 48,M48,5.5,08:13:42,-05:45:00,CLUSTER
Messier 49,M49,8.4,12:29:46,+08:00:02,GALAXY
